Date,value
6/30/1935,1915.755556
7/31/1935,1800.011111
8/31/1935,1651.894444
9/30/1935,1561.988889
10/31/1935,1361.872222
11/30/1935,1397.022222
12/31/1935,1409.877778
1/31/1936,1441.338889
2/29/1936,1545.55
3/31/1936,1599.361111
4/30/1936,1641.111111
5/31/1936,1760.388889
6/30/1936,1915.755556
7/31/1936,1800.011111
8/31/1936,1651.894444
9/30/1936,1561.988889
10/31/1936,1350.686207
11/30/1936,1366.475862
12/31/1936,1437.32069
1/31/1937,1536.741379
2/28/1937,1611.327586
3/31/1937,1622.724138
4/30/1937,1648.537931
5/31/1937,1802.237931
6/30/1937,1995.331034
7/31/1937,1905.424138
8/31/1937,1758.506897
9/30/1937,1659.665517
10/31/1937,1350.686207
11/30/1937,1366.475862
12/31/1937,1437.32069
1/31/1938,1536.741379
2/28/1938,1611.327586
3/31/1938,1622.724138
4/30/1938,1648.537931
5/31/1938,1802.237931
6/30/1938,1995.331034
7/31/1938,1905.424138
8/31/1938,1758.506897
9/30/1938,1659.665517
10/31/1938,1456.541176
11/30/1938,1461.741176
12/31/1938,1463.523529
1/31/1939,1463.182353
2/28/1939,1527.347059
3/31/1939,1576.223529
4/30/1939,1559.3
5/31/1939,1633.458824
6/30/1939,1610.5
7/31/1939,1444.570588
8/31/1939,1290.9
9/30/1939,1206.458824
10/31/1939,1361.872222
11/30/1939,1397.022222
12/31/1939,1409.877778
1/31/1940,1441.338889
2/29/1940,1545.55
3/31/1940,1599.361111
4/30/1940,1641.111111
5/31/1940,1760.388889
6/30/1940,1915.755556
7/31/1940,1800.011111
8/31/1940,1651.894444
9/30/1940,1561.988889
10/31/1940,1350.686207
11/30/1940,1366.475862
12/31/1940,1437.32069
1/31/1941,1536.741379
2/28/1941,1611.327586
3/31/1941,1622.724138
4/30/1941,1648.537931
5/31/1941,1802.237931
6/30/1941,1995.331034
7/31/1941,1905.424138
8/31/1941,1758.506897
9/30/1941,1659.665517
10/31/1941,1350.686207
11/30/1941,1366.475862
12/31/1941,1437.32069
1/31/1942,1536.741379
2/28/1942,1611.327586
3/31/1942,1622.724138
4/30/1942,1648.537931
5/31/1942,1802.237931
6/30/1942,1995.331034
7/31/1942,1905.424138
8/31/1942,1758.506897
9/30/1942,1659.665517
10/31/1942,1350.686207
11/30/1942,1366.475862
12/31/1942,1437.32069
1/31/1943,1536.741379
2/28/1943,1611.327586
3/31/1943,1622.724138
4/30/1943,1648.537931
5/31/1943,1802.237931
6/30/1943,1995.331034
7/31/1943,1905.424138
8/31/1943,1758.506897
9/30/1943,1659.665517
10/31/1943,1330.566667
11/30/1943,1345.006667
12/31/1943,1341.086667
1/31/1944,1345.393333
2/29/1944,1435.926667
3/31/1944,1500.02
4/30/1944,1535.153333
5/31/1944,1663.246667
6/30/1944,1757.933333
7/31/1944,1630.34
8/31/1944,1486.386667
9/30/1944,1400.713333
10/31/1944,1361.872222
11/30/1944,1397.022222
12/31/1944,1409.877778
1/31/1945,1441.338889
2/28/1945,1545.55
3/31/1945,1599.361111
4/30/1945,1641.111111
5/31/1945,1760.388889
6/30/1945,1915.755556
7/31/1945,1800.011111
8/31/1945,1651.894444
